"","veh_value","exposure","clm","numclaims","claimcst0","veh_body","veh_age","gender","area","agecat","X_OBSTAT_"
"418",3.47,0.2464065708,"1",1,937.27999878,"SEDAN",1,"M","B","3","01101    0    0    0"
"425",3.14,0.8514715948,"1",2,19142.132675,"TRUCK",3,"M","C","1","01101    0    0    0"
"457",1.98,0.9117043121,"1",1,2659.3699951,"STNWG",4,"M","C","6","01101    0    0    0"
"459",3.3,0.9062286105,"1",1,2349.3499985,"STNWG",2,"M","A","5","01101    0    0    0"
"463",0.62,0.9089664613,"1",1,367.72999954,"STNWG",4,"M","C","6","01101    0    0    0"
"566",2.64,0.5256673511,"1",1,462.69999886,"UTE",2,"F","C","1","01101    0    0    0"
"572",7.199,0.9993155373,"1",1,782.3599987,"STNWG",1,"F","C","1","01101    0    0    0"
"583",1.65,0.0876112252,"1",1,353.76999998,"STNWG",4,"M","C","5","01101    0    0    0"
"586",0.51,0.9117043121,"1",1,2494.5999985,"HBACK",4,"F","B","6","01101    0    0    0"
"604",1.749,0.4134154689,"1",1,13589.789948,"HBACK",1,"F","A","2","01101    0    0    0"
"664",2.39,0.9089664613,"1",1,2981.8099976,"HDTOP",2,"M","C","4","01101    0    0    0"
"671",3.59,0.8843258042,"1",1,231.96000004,"SEDAN",4,"F","A","4","01101    0    0    0"
"702",1.11,0.9062286105,"1",1,200,"HBACK",3,"F","A","6","01101    0    0    0"
"732",1.14,0.9117043121,"1",2,1043.6999989,"SEDAN",3,"F","C","4","01101    0    0    0"
"759",1.64,0.9089664613,"1",1,1114.1899986,"HBACK",2,"F","C","4","01101    0    0    0"
"787",2.35,0.9034907598,"1",1,200,"SEDAN",2,"M","C","2","01101    0    0    0"
"797",1.29,0.9089664613,"1",1,1753.8899994,"SEDAN",3,"F","E","6","01101    0    0    0"
"820",1.65,0.6954140999,"1",1,11469.089996,"STNWG",4,"M","F","1","01101    0    0    0"
"831",1.99,0.9034907598,"1",1,200.00001109,"STNWG",2,"M","B","3","01101    0    0    0"
"865",1.04,0.7173169062,"1",1,200,"HBACK",2,"F","C","4","01101    0    0    0"
"911",1.63,0.6406570842,"1",2,1255.5399971,"SEDAN",2,"F","A","3","01101    0    0    0"
"948",3.76,0.848733744,"1",1,623.44999981,"UTE",1,"F","C","2","01101    0    0    0"
"953",1.82,0.7665982204,"1",1,361.98999977,"HBACK",2,"F","B","3","01101    0    0    0"
"960",0.89,0.7529089665,"1",1,931.32999992,"HBACK",3,"F","B","4","01101    0    0    0"
"974",0.54,0.848733744,"1",1,389.94999981,"HBACK",4,"F","D","3","01101    0    0    0"
"977",6.359,0.7775496235,"1",1,200,"STNWG",1,"M","C","4","01101    0    0    0"
"984",1.26,0.6954140999,"1",1,498.34999943,"STNWG",3,"F","B","2","01101    0    0    0"
"995",1.1,0.6872005476,"1",2,400,"SEDAN",4,"F","B","2","01101    0    0    0"
"1010",0.71,0.3559206023,"1",1,353.76999998,"HBACK",4,"F","D","1","01101    0    0    0"
"1063",2.27,0.1451060917,"1",1,200,"SEDAN",1,"F","C","2","01101    0    0    0"
"1112",1.1,0.3422313484,"1",1,3070.8699951,"SEDAN",3,"F","B","4","01101    0    0    0"
"1114",1.24,0.4024640657,"1",1,200,"HBACK",3,"M","A","5","01101    0    0    0"
"1121",1.13,0.8542094456,"1",1,389.94999981,"SEDAN",3,"F","E","2","01101    0    0    0"
"1126",0.46,0.9034907598,"1",1,265,"SEDAN",4,"M","B","3","01101    0    0    0"
"1138",1.3,0.9034907598,"1",1,620.20999908,"SEDAN",3,"F","A","6","01101    0    0    0"
"1170",1.47,0.5229295003,"1",1,461.24999809,"SEDAN",2,"F","D","6","01101    0    0    0"
"1213",1.51,0.9034907598,"1",1,3682.3299942,"STNWG",4,"F","E","3","01101    0    0    0"
"1224",1.42,0.9226557153,"1",1,6110.9799957,"SEDAN",3,"F","C","4","01101    0    0    0"
"1234",1.53,0.5092402464,"1",1,2458.3299942,"PANVN",2,"F","C","3","01101    0    0    0"
"1253",1.66,0.2217659138,"1",1,353.79999971,"UTE",4,"M","C","2","01101    0    0    0"
"1255",1.43,0.2135523614,"1",1,391.30999994,"SEDAN",2,"F","A","1","01101    0    0    0"
"1266",1.81,0.9171800137,"1",1,782.40999985,"SEDAN",2,"F","B","3","01101    0    0    0"
"1282",1.26,0.900752909,"1",1,5188.3199921,"HBACK",2,"M","C","6","01101    0    0    0"
"1289",3.4,0.0109514031,"1",1,20890.579956,"STNWG",2,"M","F","1","01101    0    0    0"
"1294",1.78,0.9226557153,"1",1,200,"HBACK",2,"F","B","5","01101    0    0    0"
"1298",2.9,0.8459958932,"1",1,270.73999977,"SEDAN",1,"F","C","5","01101    0    0    0"
"1327",4.27,0.900752909,"1",1,200,"STNWG",2,"F","C","5","01101    0    0    0"
"1344",3.35,0.3312799452,"1",1,389.94999981,"TRUCK",2,"F","F","2","01101    0    0    0"
"1349",3.3,0.7939767283,"1",1,785.03999901,"SEDAN",1,"F","D","4","01101    0    0    0"
"1390",0.44,0.6160164271,"1",1,1438.2699966,"HBACK",4,"M","D","3","01101    0    0    0"
"1411",3.33,0.6598220397,"1",1,1180.1099987,"STNWG",3,"F","B","3","01101    0    0    0"
"1422",1.19,0.7446954141,"1",1,1134,"SEDAN",3,"F","A","2","01101    0    0    0"
"1429",1.37,0.900752909,"1",1,200,"HBACK",1,"M","A","2","01101    0    0    0"
"1468",2.06,0.2436687201,"1",1,2087.7799988,"STNWG",3,"M","E","2","01101    0    0    0"
"1484",1.54,0.8459958932,"1",2,400.00999451,"HBACK",2,"F","C","1","01101    0    0    0"
"1494",0.73,0.3312799452,"1",1,200,"HBACK",3,"F","C","4","01101    0    0    0"
"1498",1.49,0.514715948,"1",1,1630.5499992,"HBACK",1,"F","A","5","01101    0    0    0"
"1507",4.73,0.5256673511,"1",2,1642.6799965,"STNWG",1,"M","E","2","01101    0    0    0"
"1509",1.36,0.900752909,"1",1,696.20999908,"SEDAN",3,"F","A","6","01101    0    0    0"
"1517",3.549,0.9117043121,"1",1,542.64999962,"STNWG",1,"M","B","6","01101    0    0    0"
"1526",2.63,0.900752909,"1",1,3361.7299957,"SEDAN",1,"M","D","5","01101    0    0    0"
"1530",1.11,0.900752909,"1",1,507.8399992,"HBACK",3,"F","D","4","01101    0    0    0"
"1536",2.22,0.900752909,"1",1,367.72999954,"SEDAN",1,"F","C","4","01101    0    0    0"
"1542",0.99,0.900752909,"1",1,820.78999901,"SEDAN",4,"M","A","5","01101    0    0    0"
"1552",2.2,0.7994524298,"1",1,1244.1599998,"HBACK",1,"F","B","6","01101    0    0    0"
"1553",3.17,0.900752909,"1",1,512,"TRUCK",3,"M","E","5","01101    0    0    0"
"1562",1.49,0.900752909,"1",1,353.79999971,"UTE",4,"M","C","1","01101    0    0    0"
"1564",1.67,0.7556468172,"1",1,200,"HBACK",3,"F","C","2","01101    0    0    0"
"1585",3.94,0.5831622177,"1",1,480,"STNWG",2,"F","D","4","01101    0    0    0"
"1598",3.3,0.7967145791,"1",1,1864.0899963,"UTE",2,"M","E","1","01101    0    0    0"
"1605",1.29,0.6954140999,"1",1,635.09999943,"SEDAN",3,"M","C","3","01101    0    0    0"
"1627",2.12,0.8459958932,"1",1,3682.25,"STNWG",3,"F","E","3","01101    0    0    0"
"1630",0.81,0.7446954141,"1",1,367.72999954,"HBACK",3,"M","C","3","01101    0    0    0"
"1642",2.76,0.6954140999,"1",1,4460.769989,"STNWG",2,"F","B","3","01101    0    0    0"
"1656",2.74,0.1451060917,"1",1,24718.179993,"STNWG",3,"M","C","2","01101    0    0    0"
"1667",3.12,0.219028063,"1",1,200,"SEDAN",3,"F","B","2","01101    0    0    0"
"1685",0.67,0.8980150582,"1",1,523.53999996,"SEDAN",4,"F","C","6","01101    0    0    0"
"1688",0.92,0.8459958932,"1",1,200,"HBACK",3,"F","A","3","01101    0    0    0"
"1691",1.86,0.9199178645,"1",1,403.62999964,"SEDAN",2,"F","A","6","01101    0    0    0"
"1710",3.66,0.2819986311,"1",1,518.17999935,"STNWG",3,"F","F","3","01101    0    0    0"
"1711",4.7,0.8459958932,"1",1,353.76999998,"STNWG",1,"M","A","5","01101    0    0    0"
"1717",0.91,0.2108145106,"1",1,286.37999916,"STNWG",3,"F","A","4","01101    0    0    0"
"1726",1.51,0.7802874743,"1",1,4791.4799957,"SEDAN",3,"F","B","1","01101    0    0    0"
"1739",1.44,0.5119780972,"1",1,369.14999962,"STNWG",4,"F","A","2","01101    0    0    0"
"1743",0.74,0.8980150582,"1",1,2814.5899963,"SEDAN",4,"M","A","2","01101    0    0    0"
"1752",1.18,0.8980150582,"1",1,200,"SEDAN",3,"F","A","4","01101    0    0    0"
"1773",1.38,0.6324435318,"1",1,200,"SEDAN",3,"M","C","4","01101    0    0    0"
"1813",1.05,0.0985626283,"1",1,8870.7199707,"SEDAN",3,"F","C","5","01101    0    0    0"
"1841",0.65,0.6351813826,"1",1,200,"SEDAN",4,"F","E","4","01101    0    0    0"
"1844",2.76,0.5886379192,"1",1,200,"STNWG",1,"F","A","3","01101    0    0    0"
"1846",1.59,0.2162902122,"1",1,930.80999756,"UTE",2,"M","B","2","01101    0    0    0"
"1861",0.89,0.7830253251,"1",1,353.79999971,"TRUCK",4,"M","C","3","01101    0    0    0"
"1874",0.98,0.0629705681,"1",1,200,"SEDAN",3,"M","C","1","01101    0    0    0"
"1888",2.01,0.6242299795,"1",1,1417.2727242,"PANVN",2,"M","C","3","01101    0    0    0"
"1894",2.75,0.1149897331,"1",1,200,"STNWG",1,"F","D","1","01101    0    0    0"
"1901",0.85,0.8980150582,"1",1,1683.7799988,"HBACK",3,"F","B","1","01101    0    0    0"
"1906",1.26,0.9171800137,"1",1,342.6400032,"HBACK",2,"F","C","2","01101    0    0    0"
"1932",0.6,0.5092402464,"1",1,1820.3399963,"HBACK",4,"F","E","1","01101    0    0    0"
"1933",4.349,0.2902121834,"1",1,2246.0229988,"UTE",1,"F","E","1","01101    0    0    0"
"1940",1.03,0.8952772074,"1",1,200,"HBACK",4,"F","D","3","01101    0    0    0"
"1942",1.74,0.5092402464,"1",1,200,"STNWG",4,"M","C","2","01101    0    0    0"
"1968",1.54,0.3011635866,"1",1,200,"SEDAN",2,"M","E","2","01101    0    0    0"
"1973",1.01,0.5092402464,"1",2,21769.65361,"HBACK",2,"F","D","2","01101    0    0    0"
"1975",1.56,0.7091033539,"1",1,1265.4499969,"HBACK",2,"M","A","3","01101    0    0    0"
"2025",1.13,0.6132785763,"1",1,1656.4299965,"SEDAN",3,"M","C","4","01101    0    0    0"
"2043",1.95,0.6105407255,"1",1,470.1099987,"STNWG",3,"M","D","4","01101    0    0    0"
"2045",1.8,0.6132785763,"1",3,4076.8199968,"SEDAN",2,"M","B","6","01101    0    0    0"
"2068",0.43,0.6981519507,"1",1,420,"SEDAN",4,"F","B","2","01101    0    0    0"
"2086",0.76,0.6105407255,"1",1,1426.0099983,"HBACK",3,"F","C","5","01101    0    0    0"
"2103",3.18,0.3887748118,"1",2,2212.6899981,"STNWG",2,"F","A","5","01101    0    0    0"
"2144",2.61,0.386036961,"1",1,200,"STNWG",2,"F","A","4","01101    0    0    0"
"2163",2.11,0.5092402464,"1",1,353.76999998,"SEDAN",2,"M","C","2","01101    0    0    0"
"2167",1.97,0.2683093771,"1",1,200,"SEDAN",2,"F","C","4","01101    0    0    0"
"2175",1.48,0.2354551677,"1",1,9278.8599854,"HBACK",1,"M","D","1","01101    0    0    0"
"2182",1.4,0.9171800137,"1",1,200,"SEDAN",3,"F","C","3","01101    0    0    0"
"2185",0.84,0.59137577,"1",1,2669.8399963,"HBACK",3,"M","C","5","01101    0    0    0"
"2202",1.35,0.5065023956,"1",1,200,"SEDAN",3,"M","C","2","01101    0    0    0"
"2214",0.34,0.2162902122,"1",1,640.72727203,"HBACK",4,"F","A","4","01101    0    0    0"
"2221",1.45,0.9911019849,"1",1,390,"UTE",4,"M","E","1","01101    0    0    0"
"2248",1.23,0.5065023956,"1",1,3105.6999969,"HBACK",2,"F","D","2","01101    0    0    0"
"2250",3.85,0.2162902122,"1",1,1747.4399986,"STNWG",1,"F","C","3","01101    0    0    0"
"2333",2.12,0.6078028747,"1",1,567.14999962,"SEDAN",1,"F","D","3","01101    0    0    0"
"2341",0.68,0.6078028747,"1",1,200,"HBACK",4,"F","C","5","01101    0    0    0"
"2346",2.45,0.2135523614,"1",1,909.64999962,"SEDAN",1,"M","C","6","01101    0    0    0"
"2426",1.39,0.0602327173,"1",1,200,"HBACK",1,"M","A","6","01101    0    0    0"
"2427",2.33,0.59137577,"1",1,401.04999971,"STNWG",2,"F","A","4","01101    0    0    0"
"2428",1.99,0.4079397673,"1",1,450.04999971,"SEDAN",2,"F","E","3","01101    0    0    0"
"2443",2.33,0.6625598905,"1",1,200,"STNWG",3,"F","F","3","01101    0    0    0"
"2495",0.93,0.8377823409,"1",1,3744.5399933,"SEDAN",3,"F","C","3","01101    0    0    0"
"2498",0.79,0.8898015058,"1",1,1084.7799988,"HBACK",4,"M","B","2","01101    0    0    0"
"2512",1.24,0.8377823409,"1",1,389.94999981,"HBACK",2,"F","F","1","01101    0    0    0"
"2526",0.92,0.8377823409,"1",1,372.26999998,"HBACK",3,"F","D","4","01101    0    0    0"
"2564",1.18,0.8377823409,"1",1,438.5,"TRUCK",4,"M","B","5","01101    0    0    0"
"2629",1.21,0.2984257358,"1",1,200,"COUPE",4,"M","B","3","01101    0    0    0"
"2647",0.9,0.8815879534,"1",1,683,"HBACK",3,"F","A","3","01101    0    0    0"
"2663",2.16,0.5065023956,"1",1,200,"HBACK",1,"F","B","2","01101    0    0    0"
"2686",1.28,0.7857631759,"1",1,1454.0299988,"SEDAN",3,"F","B","4","01101    0    0    0"
"2687",1.65,0.8076659822,"1",1,200,"SEDAN",3,"M","B","3","01101    0    0    0"
"2689",3.63,0.5065023956,"1",1,404.5454545,"STNWG",2,"F","D","5","01101    0    0    0"
"2691",3.57,0.8350444901,"1",1,200,"UTE",1,"M","A","2","01101    0    0    0"
"2710",1.19,0.8898015058,"1",1,567.94999981,"STNWG",4,"M","B","4","01101    0    0    0"
"2734",3.45,0.9144421629,"1",1,1347.329998,"HDTOP",2,"M","F","4","01101    0    0    0"
"2744",1.02,0.3997262149,"1",1,200,"SEDAN",4,"M","C","4","01101    0    0    0"
"2755",1.23,0.7857631759,"1",1,353.76999998,"HBACK",2,"F","C","2","01101    0    0    0"
"2770",4.25,0.3969883641,"1",1,353.76999998,"STNWG",2,"M","B","4","01101    0    0    0"
"2776",1.349,0.5065023956,"1",1,200,"HBACK",1,"F","B","1","01101    0    0    0"
"2797",1.99,0.3969883641,"1",1,359.5,"STNWG",4,"M","A","3","01101    0    0    0"
"2810",1.67,0.295687885,"1",1,200,"HBACK",2,"F","C","3","01101    0    0    0"
"2815",1.08,0.2135523614,"1",1,2370.9899979,"HBACK",3,"F","C","4","01101    0    0    0"
"2831",1.17,0.5065023956,"1",1,200,"SEDAN",3,"F","A","5","01101    0    0    0"
"2856",4.58,0.257357974,"1",2,1875.1399994,"STNWG",1,"M","D","2","01101    0    0    0"
"2878",0.65,0.5065023956,"1",1,200,"SEDAN",4,"M","C","2","01101    0    0    0"
"2909",0.79,0.3942505133,"1",1,353.76999998,"HBACK",3,"F","C","1","01101    0    0    0"
"2913",1.55,0.5037645448,"1",1,2434.609993,"HBACK",1,"F","C","5","01101    0    0    0"
"2929",0.39,0.3969883641,"1",1,359.5,"STNWG",4,"F","C","4","01101    0    0    0"
"2930",0.95,0.6023271732,"1",1,200,"SEDAN",4,"M","C","4","01101    0    0    0"
"2935",0.83,0.6023271732,"1",1,2326.4499969,"STNWG",4,"M","D","2","01101    0    0    0"
"2936",2.61,0.6023271732,"1",1,376.62999964,"STNWG",4,"F","E","5","01101    0    0    0"
"2957",1.29,0.0574948665,"1",1,353.76999998,"HDTOP",4,"F","C","1","01101    0    0    0"
"2989",2.33,0.6050650239,"1",1,3563.409996,"UTE",2,"M","C","6","01101    0    0    0"
"2994",0.39,0.5065023956,"1",1,390,"SEDAN",4,"F","C","4","01101    0    0    0"
"3015",1.21,0.5995893224,"1",1,1702.7599983,"HBACK",2,"F","D","1","01101    0    0    0"
"3020",0.9,0.5065023956,"1",1,377.8499999,"UTE",4,"F","B","2","01101    0    0    0"
"3033",2.18,0.5065023956,"1",1,748.44999886,"SEDAN",2,"M","C","4","01101    0    0    0"
"3100",0.74,0.3997262149,"1",1,947.75,"HBACK",4,"F","B","5","01101    0    0    0"
"3130",0.97,0.3997262149,"1",1,1657.9499969,"SEDAN",3,"F","C","4","01101    0    0    0"
"3175",1.29,0.2847364819,"1",1,9806.5099487,"STNWG",4,"F","F","4","01101    0    0    0"
"3185",1.66,0.3367556468,"1",1,13172.72998,"STNWG",4,"F","F","4","01101    0    0    0"
"3196",1.428,0.6543463381,"1",1,200,"HBACK",1,"M","A","4","01101    0    0    0"
"3245",3.4,0.6023271732,"1",1,345,"UTE",1,"M","B","5","01101    0    0    0"
"3294",1.74,0.3969883641,"1",1,579.31999969,"SEDAN",1,"M","B","2","01101    0    0    0"
"3299",1.73,0.629705681,"1",1,200,"SEDAN",2,"F","C","4","01101    0    0    0"
"3300",1.45,0.8624229979,"1",1,1210.9499989,"SEDAN",3,"F","F","5","01101    0    0    0"
"3301",2.79,0.4106776181,"1",1,1532.9299965,"STNWG",2,"M","F","3","01101    0    0    0"
"3303",2.54,0.9144421629,"1",1,1335.8199997,"TRUCK",3,"M","D","2","01101    0    0    0"
"3309",2.43,0.8350444901,"1",1,5823.9499969,"SEDAN",1,"M","B","2","01101    0    0    0"
"3320",3.28,0.8323066393,"1",1,372.26999998,"STNWG",1,"M","B","3","01101    0    0    0"
"3330",1.44,0.629705681,"1",1,2418.8099976,"UTE",4,"M","F","5","01101    0    0    0"
"3347",1.73,0.629705681,"1",1,3931.25,"HBACK",2,"F","E","6","01101    0    0    0"
"3390",0.86,0.8350444901,"1",1,272.09000015,"SEDAN",4,"F","A","3","01101    0    0    0"
"3413",1.42,0.7665982204,"1",1,200,"SEDAN",3,"M","A","3","01101    0    0    0"
"3416",2.999,0.8350444901,"1",1,200,"STNWG",1,"M","D","1","01101    0    0    0"
"3427",4.85,0.1122518823,"1",1,1957.2299995,"STNWG",2,"M","B","4","01101    0    0    0"
"3440",0.84,0.1642710472,"1",1,7796.3699951,"HBACK",3,"F","C","2","01101    0    0    0"
"3453",0.99,0.7665982204,"1",1,353.76999998,"HBACK",3,"F","C","2","01101    0    0    0"
"3455",1.61,0.295687885,"1",1,353.76999998,"HBACK",2,"F","B","3","01101    0    0    0"
"3461",2.44,0.8843258042,"1",1,1659.3799973,"SEDAN",1,"M","A","6","01101    0    0    0"
"3482",1.09,0.3230663929,"1",1,3725.4618225,"STNWG",3,"M","C","6","01101    0    0    0"
"3487",1.08,0.8980150582,"1",1,834.52999878,"SEDAN",3,"F","C","6","01101    0    0    0"
"3541",5.813,0.9993155373,"1",1,200,"STNWG",1,"F","B","3","01101    0    0    0"
"3548",1.63,0.8980150582,"1",1,1544.0899963,"HDTOP",3,"F","B","3","01101    0    0    0"
"3555",1.01,0.8980150582,"1",1,353.76999998,"HBACK",3,"F","C","3","01101    0    0    0"
"3566",1.98,0.8980150582,"1",1,1020.5599995,"STNWG",4,"M","C","4","01101    0    0    0"
"3593",0.92,0.476386037,"1",1,1449.1436348,"HBACK",4,"M","C","3","01101    0    0    0"
"3602",1.559,0.7912388775,"1",1,393.79999971,"HBACK",1,"F","C","1","01101    0    0    0"
"3606",4.11,0.887063655,"1",1,837.19999886,"STNWG",1,"F","F","1","01101    0    0    0"
"3616",1.59,0.6269678302,"1",1,696.47999954,"SEDAN",3,"M","A","4","01101    0    0    0"
"3643",2.41,0.8569472964,"1",1,385.0899992,"STNWG",3,"M","A","5","01101    0    0    0"
"3649",1.28,0.1396303901,"1",1,4057.8099976,"STNWG",4,"F","C","5","01101    0    0    0"
"3688",1.86,0.8569472964,"1",1,882.09999847,"HBACK",1,"M","A","5","01101    0    0    0"
"3695",1.89,0.8596851472,"1",1,1785.7399979,"SEDAN",2,"F","D","4","01101    0    0    0"
"3704",1.1,0.8569472964,"1",1,353.76999998,"SEDAN",3,"F","C","3","01101    0    0    0"
"3708",1.82,0.7802874743,"1",1,1211.3499985,"STNWG",2,"M","C","4","01101    0    0    0"
"3727",3.32,0.5037645448,"1",2,959.41999912,"STNWG",1,"F","C","5","01101    0    0    0"
"3736",2.23,0.1423682409,"1",1,1176.8099995,"SEDAN",1,"F","B","4","01101    0    0    0"
"3785",1.6,0.8596851472,"1",1,721.25999832,"HBACK",3,"F","A","4","01101    0    0    0"
"3796",1.56,0.2710472279,"1",1,252.38999939,"HDTOP",4,"M","D","2","01101    0    0    0"
"3839",1.12,0.8569472964,"1",1,221,"HBACK",3,"M","C","4","01101    0    0    0"
"3895",2.29,0.4435318275,"1",1,2311.1899948,"STNWG",3,"F","E","3","01101    0    0    0"
"3902",1.09,0.7885010267,"1",1,861.15999985,"SEDAN",4,"F","A","2","01101    0    0    0"
"3903",2.2,0.7693360712,"1",1,1235.3699989,"STNWG",2,"M","C","2","01101    0    0    0"
"3917",2.68,0.8843258042,"1",1,200,"SEDAN",1,"F","E","4","01101    0    0    0"
"3919",2.5,0.8323066393,"1",1,870.12999916,"HDTOP",1,"F","C","4","01101    0    0    0"
"3935",2.3,0.2080766598,"1",1,2287.7099991,"STNWG",3,"F","A","3","01101    0    0    0"
"3942",2.34,0.772073922,"1",2,1987.7999992,"MIBUS",4,"F","E","4","01101    0    0    0"
"3951",1.41,0.4900752909,"1",1,3442.4636307,"SEDAN",2,"F","A","1","01101    0    0    0"
"3976",3.22,0.9993155373,"1",2,3608.1799984,"UTE",2,"F","C","1","01101    0    0    0"
"3986",2.38,0.8295687885,"1",1,1076.1499996,"STNWG",3,"F","B","3","01101    0    0    0"
"4013",0.58,0.1341546886,"1",1,3663.409996,"COUPE",4,"F","A","6","01101    0    0    0"
"4015",1.61,0.8952772074,"1",1,233.2699995,"SEDAN",2,"M","C","5","01101    0    0    0"
"4059",1.23,0.8952772074,"1",1,1140.1899986,"HBACK",2,"F","A","5","01101    0    0    0"
"4066",0.44,0.8323066393,"1",1,2438.5799942,"HBACK",4,"F","C","2","01101    0    0    0"
"4081",1.3,0.7145790554,"1",1,200,"HBACK",2,"F","A","1","01101    0    0    0"
"4090",3.06,0.8323066393,"1",1,389.94999981,"STNWG",3,"M","D","2","01101    0    0    0"
"4114",1.14,0.9062286105,"1",2,2701.2199974,"UTE",4,"M","C","4","01101    0    0    0"
"4134",1.06,0.2655715263,"1",1,353.76999998,"HBACK",4,"F","C","2","01101    0    0    0"
"4147",0.88,0.3942505133,"1",1,616.80999947,"SEDAN",3,"F","D","6","01101    0    0    0"
"4160",5.27,0.3942505133,"1",1,250,"STNWG",2,"F","D","6","01101    0    0    0"
"4174",1.78,0.3942505133,"1",1,1522.2199974,"SEDAN",2,"F","C","4","01101    0    0    0"
"4178",1.65,0.605065024,"1",1,4795.4899902,"SEDAN",2,"F","B","3","01101    0    0    0"
"4179",2.13,0.3942505133,"1",1,200,"SEDAN",2,"F","C","6","01101    0    0    0"
"4202",0.81,0.4325804244,"1",1,7195.7799835,"HBACK",4,"F","D","2","01101    0    0    0"
"4212",2.66,0.8651608487,"1",1,887.38999939,"STNWG",3,"M","A","5","01101    0    0    0"
"4228",2.66,0.2874743326,"1",1,1233.4699974,"STNWG",2,"M","B","3","01101    0    0    0"
"4243",4.8,0.8651608487,"1",1,353.79999971,"HDTOP",1,"M","A","1","01101    0    0    0"
"4281",2.36,0.925393566,"1",1,462.25,"STNWG",3,"F","C","2","01101    0    0    0"
"4304",0.71,0.9062286105,"1",1,727.16999817,"SEDAN",4,"M","D","3","01101    0    0    0"
"4324",1.8,0.9062286105,"1",1,200,"STNWG",2,"F","A","5","01101    0    0    0"
"4327",4.71,0.9993155373,"1",1,200,"STNWG",1,"F","D","6","01101    0    0    0"
"4329",1.13,0.2436687201,"1",1,408.12999964,"SEDAN",3,"F","A","1","01101    0    0    0"
"4332",2.24,0.8076659822,"1",1,200,"STNWG",3,"M","B","2","01101    0    0    0"
"4351",1.29,0.4407939767,"1",1,404.5454545,"STNWG",4,"F","F","3","01101    0    0    0"
"4354",1.31,0.8815879535,"1",1,200,"HBACK",1,"M","A","5","01101    0    0    0"
"4365",1.25,0.8295687885,"1",1,482.89999962,"STNWG",4,"M","D","4","01101    0    0    0"
